guideline,consensus,pyr,mirp,cerr,flash
Intensity volume histogram: Intensity difference between 10% and 90% volume,3-5,,ivh_diff_i10_i90,,original_ivh_IntensityDifferenceBetween10And90Volume
GLCM: Joint maximum,3-5,MaximumProbability,cm_joint_max,MaximumProbability,original_glcm_MaximumProbability
GLCM: Joint average,6-9,JointAverage,cm_joint_avg,JointAverage,original_glcm_JointAverage
GLCM: Joint variance,3-5,SumSquares,cm_joint_var,,original_glcm_SumSquares
GLCM: Joint entropy,6-9,JointEntropy,cm_joint_entr,JointEntropy,original_glcm_JointEntropy
GLCM: Difference average,6-9,DifferenceAverage,cm_diff_avg,DifferenceAverage,original_glcm_DifferenceAverage
GLCM: Difference variance,6-9,DifferenceVariance,cm_diff_var,DifferenceVariance,original_glcm_DifferenceVariance
GLCM: Difference entropy,3-5,DifferenceEntropy,cm_diff_entr,DifferenceEntropy,original_glcm_DifferenceEntropy
GLCM: Sum average,6-9,SumAverage,cm_sum_avg,SumAverage,original_glcm_SumAverage
GLCM: Sum variance,3-5,,cm_sum_var,,original_glcm_SumVariance
GLCM: Sum entropy,6-9,SumEntropy,cm_sum_entr,SumEntropy,original_glcm_SumEntropy
GLCM: Angular second moment,6-9,JointEnergy,cm_energy,JointEnergy,original_glcm_JointEnergy
GLCM: Contrast,6-9,Contrast,cm_contrast,Contrast,original_glcm_Contrast
GLCM: Dissimilarity,6-9,,cm_dissimilarity,,original_glcm_Dissimilarity
GLCM: Inverse difference,3-5,Id,cm_inv_diff,InverseDifference,original_glcm_Id
GLCM: Normalised inverse difference,6-9,Idn,cm_inv_diff_norm,InverseDifferenceNormalized,original_glcm_Idn
GLCM: Inverse difference moment,6-9,Idm,cm_inv_diff_mom,InverseDifferenceMoment,original_glcm_Idm
GLCM: Normalised inverse difference moment,6-9,Idmn,cm_inv_diff_mom_norm,InverseDifferenceMomentNormalized,original_glcm_Idmn
GLCM: Inverse variance,6-9,InverseVariance,cm_inv_var,InverseVariance,original_glcm_InverseVariance
GLCM: Correlation,3-5,Correlation,cm_corr,Correlation,original_glcm_Correlation
GLCM: Autocorrelation,6-9,Autocorrelation,cm_auto_corr,Autocorrelation,original_glcm_Autocorrelation
GLCM: Cluster tendency,3-5,ClusterTendency,cm_clust_tend,ClusterTendency,original_glcm_ClusterTendency
GLCM: Cluster shade,3-5,ClusterShade,cm_clust_shade,ClusterShade,original_glcm_ClusterShade
GLCM: Cluster prominence,3-5,ClusterProminence,cm_clust_prom,ClusterProminence,original_glcm_ClusterProminence
GLCM: Information correlation 1,3-5,Imc1,cm_info_corr1,InformationMeasureOfCorrelation1,original_glcm_Imc1
GLCM: Information correlation 2,3-5,Imc2,cm_info_corr2,InformationMeasureOfCorrelation2,original_glcm_Imc2
